id,studio_id,instructor_id,source,source_id,title,style,difficulty,pacing,duration_min,price,description,target_outcomes,contraindications,schedule,crawled_at,search_vec
1,,,taling,08da0ffc64a58174,마음챙김 명상요가 - 마음 가는 대로 요가,yin,,,,,,,,"{""city"": ""서울"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-07-10T07:46:43.591782+00:00,'yin':7 '가는':4 '대로':5 '마음':3 '마음챙김':1 '명상요가':2 '요가':6
2,,,taling,d95f7494d00c43f0,무너진 체형 8주 만에 리셋! <체형 교정 솔루션 요가>,yoga,,,,,,,,"{""city"": ""서울"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-07-10T07:46:43.598013+00:00,"'8주':3 'yoga':10 '교정':7 '리셋':5 '만에':4 '무너진':1 '솔루션':8 '요가':9 '체형':2,6"
3,,,taling,45170c7c0e00909f,성형 없이 얼굴 골격 재창조!<br><셀프 경락 + 페이스 요가>,yoga,,,,,,,,"{""city"": ""서울"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-21T23:48:44.257870+00:00,'yoga':10 '경락':7 '골격':4 '성형':1 '셀프':6 '얼굴':3 '없이':2 '요가':9 '재창조':5 '페이스':8
4,,,taling,fed65f2d87c33626,아메리카요가 목동점,yoga,,,,,,,,"{""city"": ""서울"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-07-10T07:46:43.598158+00:00,'yoga':3 '목동점':2 '아메리카요가':1
5,,,taling,cba3fd6908ccf024,아메리카요가 건대점,yoga,,,,,,,,"{""city"": ""서울"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-07-10T07:46:43.598150+00:00,'yoga':3 '건대점':2 '아메리카요가':1
6,,,taling,d3be82b86d643a9f,아메리카요가 발산점,yoga,,,,,,,,"{""city"": ""서울"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-07-10T07:46:43.598138+00:00,'yoga':3 '발산점':2 '아메리카요가':1
7,,,taling,102d4e6181600a2c,아메리카요가 청량리점,yoga,,,,,,,,"{""city"": ""서울"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-07-10T07:46:43.598166+00:00,'yoga':3 '아메리카요가':1 '청량리점':2
8,,,taling,0ef797ea15167b44,아메리카요가 여의도점,yoga,,,,,,,,"{""city"": ""서울"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-07-10T07:46:43.598178+00:00,'yoga':3 '아메리카요가':1 '여의도점':2
17,,,taling,c9ac0d2ef42726fc,마음챙김 명상요가 - 마음 가는 대로 요가,yin,,,,,,,,"{""city"": ""부산"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-07-12T07:48:22.841312+00:00,'yin':7 '가는':4 '대로':5 '마음':3 '마음챙김':1 '명상요가':2 '요가':6
18,,,taling,0bcdd596919ac5e5,무너진 체형 8주 만에 리셋! <체형 교정 솔루션 요가>,yoga,,,,,,,,"{""city"": ""부산"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-07-12T07:48:22.853223+00:00,"'8주':3 'yoga':10 '교정':7 '리셋':5 '만에':4 '무너진':1 '솔루션':8 '요가':9 '체형':2,6"
19,,,taling,ce162af25947d090,성형 없이 얼굴 골격 재창조!<br><셀프 경락 + 페이스 요가>,yoga,,,,,,,,"{""city"": ""부산"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-21T23:49:12.861188+00:00,'yoga':10 '경락':7 '골격':4 '성형':1 '셀프':6 '얼굴':3 '없이':2 '요가':9 '재창조':5 '페이스':8
20,,,taling,f604c37e0b96cea9,아메리카요가 발산점,yoga,,,,,,,,"{""city"": ""부산"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-07-12T07:48:22.853300+00:00,'yoga':3 '발산점':2 '아메리카요가':1
21,,,taling,cffedd43efd76aea,아메리카요가 건대점,yoga,,,,,,,,"{""city"": ""부산"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-07-12T07:48:22.853317+00:00,'yoga':3 '건대점':2 '아메리카요가':1
22,,,taling,96b6fa409748b644,아메리카요가 목동점,yoga,,,,,,,,"{""city"": ""부산"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-07-12T07:48:22.853309+00:00,'yoga':3 '목동점':2 '아메리카요가':1
23,,,taling,7e4727f0c231e5e7,아메리카요가 청량리점,yoga,,,,,,,,"{""city"": ""부산"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-07-12T07:48:22.853325+00:00,'yoga':3 '아메리카요가':1 '청량리점':2
24,,,taling,221123ec7d317cdf,아메리카요가 여의도점,yoga,,,,,,,,"{""city"": ""부산"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-07-12T07:48:22.853332+00:00,'yoga':3 '아메리카요가':1 '여의도점':2
25,,,taling,35dc8876af4ccc7c,하트풀니스 요가와 자애 명상,meditation,,,,,,,,"{""city"": ""부산"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-07-12T07:48:22.853424+00:00,'meditation':5 '명상':4 '요가와':2 '자애':3 '하트풀니스':1
26,,,taling,09e525c2ac7a2967,올바른 휴식을 도와주는  회복 요가,yoga,,,,,,,,"{""city"": ""부산"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-07-12T07:48:22.853509+00:00,'yoga':6 '도와주는':3 '올바른':1 '요가':5 '회복':4 '휴식을':2
27,,,taling,097edbab355e66d1,요가강사로서의 성공전략,yoga,,,,,,,,"{""city"": ""부산"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-07-12T07:48:22.853563+00:00,'yoga':3 '성공전략':2 '요가강사로서의':1
28,,,taling,7d627c64cd0f0cef,봄의 생기를 불어넣는 <br>전신 요가 (아쉬탕가) ,ashtanga,,,,,,,,"{""city"": ""부산"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-07-12T07:48:22.853612+00:00,'ashtanga':7 '봄의':1 '불어넣는':3 '생기를':2 '아쉬탕가':6 '요가':5 '전신':4
29,,,taling,6f53def2fe24919d,"아쉬탕가, 싱잉볼 명상, 요가<br>내 삶을 채우는 웰니스 패키지",ashtanga,,,,,,,,"{""city"": ""부산"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-07-12T07:48:22.853665+00:00,'ashtanga':10 '내':5 '명상':3 '삶을':6 '싱잉볼':2 '아쉬탕가':1 '요가':4 '웰니스':8 '채우는':7 '패키지':9
30,,,taling,20c1425d1741f8bc,"주말 요가, 디퓨져 원데이 클래스",yoga,,,,,,,,"{""city"": ""부산"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-07-12T07:48:22.853714+00:00,'yoga':6 '디퓨져':3 '요가':2 '원데이':4 '주말':1 '클래스':5
31,,,taling,ea8c679965d73da1,마음챙김 명상요가 - 마음 가는 대로 요가,yin,,,,,,,,"{""city"": ""대구"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-07-11T07:48:09.757757+00:00,'yin':7 '가는':4 '대로':5 '마음':3 '마음챙김':1 '명상요가':2 '요가':6
32,,,taling,1b7f2c706440aef4,무너진 체형 8주 만에 리셋! <체형 교정 솔루션 요가>,yoga,,,,,,,,"{""city"": ""대구"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-07-11T07:48:09.764697+00:00,"'8주':3 'yoga':10 '교정':7 '리셋':5 '만에':4 '무너진':1 '솔루션':8 '요가':9 '체형':2,6"
33,,,taling,2a0fcfb7eda574c1,성형 없이 얼굴 골격 재창조!<br><셀프 경락 + 페이스 요가>,yoga,,,,,,,,"{""city"": ""대구"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-21T23:49:43.058449+00:00,'yoga':10 '경락':7 '골격':4 '성형':1 '셀프':6 '얼굴':3 '없이':2 '요가':9 '재창조':5 '페이스':8
34,,,taling,dedd8db06cbb396e,아메리카요가 발산점,yoga,,,,,,,,"{""city"": ""대구"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-07-11T07:48:09.764722+00:00,'yoga':3 '발산점':2 '아메리카요가':1
35,,,taling,6ea5e3e3e4caf350,아메리카요가 건대점,yoga,,,,,,,,"{""city"": ""대구"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-07-11T07:48:09.764766+00:00,'yoga':3 '건대점':2 '아메리카요가':1
36,,,taling,008b5bb19f85bc0e,아메리카요가 목동점,yoga,,,,,,,,"{""city"": ""대구"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-07-11T07:48:09.764756+00:00,'yoga':3 '목동점':2 '아메리카요가':1
37,,,taling,f9444be687e3646a,아메리카요가 청량리점,yoga,,,,,,,,"{""city"": ""대구"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-07-11T07:48:09.764775+00:00,'yoga':3 '아메리카요가':1 '청량리점':2
38,,,taling,813e76d8561f8087,아메리카요가 여의도점,yoga,,,,,,,,"{""city"": ""대구"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-07-11T07:48:09.764782+00:00,'yoga':3 '아메리카요가':1 '여의도점':2
39,,,taling,4cd5a333f189aa9b,하트풀니스 요가와 자애 명상,meditation,,,,,,,,"{""city"": ""대구"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-07-11T07:48:09.764842+00:00,'meditation':5 '명상':4 '요가와':2 '자애':3 '하트풀니스':1
40,,,taling,0f86ba6dc97411f6,올바른 휴식을 도와주는  회복 요가,yoga,,,,,,,,"{""city"": ""대구"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-07-11T07:48:09.764894+00:00,'yoga':6 '도와주는':3 '올바른':1 '요가':5 '회복':4 '휴식을':2
41,,,taling,12b810f1b1219082,요가강사로서의 성공전략,yoga,,,,,,,,"{""city"": ""대구"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-07-11T07:48:09.764958+00:00,'yoga':3 '성공전략':2 '요가강사로서의':1
42,,,taling,e213a821207f50a8,봄의 생기를 불어넣는 <br>전신 요가 (아쉬탕가) ,ashtanga,,,,,,,,"{""city"": ""대구"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-07-11T07:48:09.765009+00:00,'ashtanga':7 '봄의':1 '불어넣는':3 '생기를':2 '아쉬탕가':6 '요가':5 '전신':4
43,,,taling,5808a84335115781,"아쉬탕가, 싱잉볼 명상, 요가<br>내 삶을 채우는 웰니스 패키지",ashtanga,,,,,,,,"{""city"": ""대구"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-07-11T07:48:09.766019+00:00,'ashtanga':10 '내':5 '명상':3 '삶을':6 '싱잉볼':2 '아쉬탕가':1 '요가':4 '웰니스':8 '채우는':7 '패키지':9
44,,,taling,e07da50faa03cda6,"주말 요가, 디퓨져 원데이 클래스",yoga,,,,,,,,"{""city"": ""대구"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-07-11T07:48:09.766106+00:00,'yoga':6 '디퓨져':3 '요가':2 '원데이':4 '주말':1 '클래스':5
45,,,taling,06ee6aee98935e2c,마음챙김 명상요가 - 마음 가는 대로 요가,yin,,,,,,,,"{""city"": ""인천"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-07-11T07:48:56.018561+00:00,'yin':7 '가는':4 '대로':5 '마음':3 '마음챙김':1 '명상요가':2 '요가':6
46,,,taling,1d1a3a1d6555a3e9,무너진 체형 8주 만에 리셋! <체형 교정 솔루션 요가>,yoga,,,,,,,,"{""city"": ""인천"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-07-11T07:48:56.021235+00:00,"'8주':3 'yoga':10 '교정':7 '리셋':5 '만에':4 '무너진':1 '솔루션':8 '요가':9 '체형':2,6"
47,,,taling,522c41d7ea65159a,성형 없이 얼굴 골격 재창조!<br><셀프 경락 + 페이스 요가>,yoga,,,,,,,,"{""city"": ""인천"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-21T23:50:10.403133+00:00,'yoga':10 '경락':7 '골격':4 '성형':1 '셀프':6 '얼굴':3 '없이':2 '요가':9 '재창조':5 '페이스':8
