id,studio_id,instructor_id,source,source_id,title,style,difficulty,pacing,duration_min,price,description,target_outcomes,contraindications,schedule,crawled_at,search_vec
28,,,taling,7d627c64cd0f0cef,봄의 생기를 불어넣는 <br>전신 요가 (아쉬탕가) ,ashtanga,,,,,,,,"{""city"": ""부산"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-06-07T07:45:57.300453+00:00,'ashtanga':7 '봄의':1 '불어넣는':3 '생기를':2 '아쉬탕가':6 '요가':5 '전신':4
29,,,taling,6f53def2fe24919d,"아쉬탕가, 싱잉볼 명상, 요가<br>내 삶을 채우는 웰니스 패키지",ashtanga,,,,,,,,"{""city"": ""부산"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-06-07T07:45:57.300559+00:00,'ashtanga':10 '내':5 '명상':3 '삶을':6 '싱잉볼':2 '아쉬탕가':1 '요가':4 '웰니스':8 '채우는':7 '패키지':9
30,,,taling,20c1425d1741f8bc,"주말 요가, 디퓨져 원데이 클래스",yoga,,,,,,,,"{""city"": ""부산"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-06-07T07:45:57.300656+00:00,'yoga':6 '디퓨져':3 '요가':2 '원데이':4 '주말':1 '클래스':5
31,,,taling,ea8c679965d73da1,마음챙김 명상요가 - 마음 가는 대로 요가,yin,,,,,,,,"{""city"": ""대구"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-06-07T07:46:46.366853+00:00,'yin':7 '가는':4 '대로':5 '마음':3 '마음챙김':1 '명상요가':2 '요가':6
32,,,taling,1b7f2c706440aef4,무너진 체형 8주 만에 리셋! <체형 교정 솔루션 요가>,yoga,,,,,,,,"{""city"": ""대구"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-06-07T07:46:46.375855+00:00,"'8주':3 'yoga':10 '교정':7 '리셋':5 '만에':4 '무너진':1 '솔루션':8 '요가':9 '체형':2,6"
33,,,taling,2a0fcfb7eda574c1,성형 없이 얼굴 골격 재창조!<br><셀프 경락 + 페이스 요가>,yoga,,,,,,,,"{""city"": ""대구"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-21T23:49:43.058449+00:00,'yoga':10 '경락':7 '골격':4 '성형':1 '셀프':6 '얼굴':3 '없이':2 '요가':9 '재창조':5 '페이스':8
34,,,taling,dedd8db06cbb396e,아메리카요가 발산점,yoga,,,,,,,,"{""city"": ""대구"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-06-07T07:46:46.375880+00:00,'yoga':3 '발산점':2 '아메리카요가':1
35,,,taling,6ea5e3e3e4caf350,아메리카요가 건대점,yoga,,,,,,,,"{""city"": ""대구"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-06-07T07:46:46.375894+00:00,'yoga':3 '건대점':2 '아메리카요가':1
36,,,taling,008b5bb19f85bc0e,아메리카요가 목동점,yoga,,,,,,,,"{""city"": ""대구"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-06-07T07:46:46.375910+00:00,'yoga':3 '목동점':2 '아메리카요가':1
37,,,taling,f9444be687e3646a,아메리카요가 청량리점,yoga,,,,,,,,"{""city"": ""대구"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-06-07T07:46:46.375921+00:00,'yoga':3 '아메리카요가':1 '청량리점':2
38,,,taling,813e76d8561f8087,아메리카요가 여의도점,yoga,,,,,,,,"{""city"": ""대구"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-06-07T07:46:46.375932+00:00,'yoga':3 '아메리카요가':1 '여의도점':2
39,,,taling,4cd5a333f189aa9b,하트풀니스 요가와 자애 명상,meditation,,,,,,,,"{""city"": ""대구"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-06-07T07:46:46.376026+00:00,'meditation':5 '명상':4 '요가와':2 '자애':3 '하트풀니스':1
40,,,taling,0f86ba6dc97411f6,올바른 휴식을 도와주는  회복 요가,yoga,,,,,,,,"{""city"": ""대구"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-06-07T07:46:46.376206+00:00,'yoga':6 '도와주는':3 '올바른':1 '요가':5 '회복':4 '휴식을':2
41,,,taling,12b810f1b1219082,요가강사로서의 성공전략,yoga,,,,,,,,"{""city"": ""대구"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-06-07T07:46:46.376117+00:00,'yoga':3 '성공전략':2 '요가강사로서의':1
42,,,taling,e213a821207f50a8,봄의 생기를 불어넣는 <br>전신 요가 (아쉬탕가) ,ashtanga,,,,,,,,"{""city"": ""대구"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-06-07T07:46:46.376292+00:00,'ashtanga':7 '봄의':1 '불어넣는':3 '생기를':2 '아쉬탕가':6 '요가':5 '전신':4
43,,,taling,5808a84335115781,"아쉬탕가, 싱잉볼 명상, 요가<br>내 삶을 채우는 웰니스 패키지",ashtanga,,,,,,,,"{""city"": ""대구"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-06-07T07:46:46.376378+00:00,'ashtanga':10 '내':5 '명상':3 '삶을':6 '싱잉볼':2 '아쉬탕가':1 '요가':4 '웰니스':8 '채우는':7 '패키지':9
44,,,taling,e07da50faa03cda6,"주말 요가, 디퓨져 원데이 클래스",yoga,,,,,,,,"{""city"": ""대구"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-06-07T07:46:46.376474+00:00,'yoga':6 '디퓨져':3 '요가':2 '원데이':4 '주말':1 '클래스':5
45,,,taling,06ee6aee98935e2c,마음챙김 명상요가 - 마음 가는 대로 요가,yin,,,,,,,,"{""city"": ""인천"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-06-06T07:49:42.694066+00:00,'yin':7 '가는':4 '대로':5 '마음':3 '마음챙김':1 '명상요가':2 '요가':6
46,,,taling,1d1a3a1d6555a3e9,무너진 체형 8주 만에 리셋! <체형 교정 솔루션 요가>,yoga,,,,,,,,"{""city"": ""인천"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-06-06T07:49:42.701622+00:00,"'8주':3 'yoga':10 '교정':7 '리셋':5 '만에':4 '무너진':1 '솔루션':8 '요가':9 '체형':2,6"
47,,,taling,522c41d7ea65159a,성형 없이 얼굴 골격 재창조!<br><셀프 경락 + 페이스 요가>,yoga,,,,,,,,"{""city"": ""인천"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-21T23:50:10.403133+00:00,'yoga':10 '경락':7 '골격':4 '성형':1 '셀프':6 '얼굴':3 '없이':2 '요가':9 '재창조':5 '페이스':8
48,,,taling,1923d067dfbabe3f,아메리카요가 발산점,yoga,,,,,,,,"{""city"": ""인천"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-06-06T07:49:42.701680+00:00,'yoga':3 '발산점':2 '아메리카요가':1
49,,,taling,5480d48ccf41e74e,아메리카요가 건대점,yoga,,,,,,,,"{""city"": ""인천"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-06-06T07:49:42.701696+00:00,'yoga':3 '건대점':2 '아메리카요가':1
